N,종목명,현재가,전일비,등락률,액면가,매출액,영업이익,PER,ROE
1172.0,SOL 한국형글로벌반도체액티브,18830.0,하락  195,-1.02%,0.0,,,,
1173.0,KBSTAR 국채선물5년추종인버스,56430.0,하락  25,-0.04%,0.0,,,,
1174.0,TIGER 2차전지TOP10레버리지,2785.0,하락  5,-0.18%,0.0,,,,
1175.0,삼성 미국 대형 성장주 ETN,25460.0,하락  140,-0.55%,0.0,,,,
1176.0,KODEX 미국10년국채선물,11295.0,상승  75,+0.67%,0.0,,,,
1177.0,미래에셋 0.5X 코스닥150 선물 ETN,10160.0,상승  55,+0.54%,0.0,,,,
1178.0,영화금속,980.0,상승  2,+0.20%,500.0,2923.0,94.0,6.28,11.57
1179.0,TIGER 코스닥150 레버리지,11340.0,상승  240,+2.16%,0.0,,,,
1180.0,KODEX 미국AI테크TOP10+15%프리미엄,10065.0,하락  60,-0.59%,0.0,,,,
1181.0,DL이앤씨2우(전환),23700.0,상승  300,+1.28%,5000.0,,,8.2,
1182.0,HANARO 32-10 국고채액티브,53330.0,하락  35,-0.07%,0.0,,,,
1183.0,메리츠 레버리지 미국채30년 ETN(H),4985.0,상승  45,+0.91%,0.0,,,,
1184.0,웰바이오텍,545.0,보합0,0.00%,500.0,721.0,-159.0,-0.7,-178.39
1185.0,케이탑리츠,1024.0,보합0,0.00%,1000.0,269.0,205.0,4.13,11.85
1186.0,ARIRANG 우주항공&UAM iSelect,12560.0,하락  65,-0.51%,0.0,,,,
1187.0,KODEX 인도Nifty50레버리지(합성),15985.0,상승  185,+1.17%,0.0,,,,
1188.0,계양전기,1790.0,하락  42,-2.29%,500.0,3816.0,-39.0,-7.37,-1.02
1189.0,HANARO e커머스,10035.0,상승  40,+0.40%,0.0,,,,
1190.0,KODEX Fn시스템반도체,11480.0,하락  25,-0.22%,0.0,,,,
1191.0,KB 천연가스 선물 ETN(H),4810.0,하락  205,-4.09%,0.0,,,,
1192.0,마이다스 KoreaStock액티브,20625.0,하락  75,-0.36%,0.0,,,,
1193.0,메타랩스,1925.0,상승  53,+2.83%,2500.0,216.0,-39.0,-5.38,-9.7
1194.0,한성기업,7710.0,상승  870,+12.72%,5000.0,3206.0,81.0,15.64,2.36
1195.0,한창제지,799.0,상승  4,+0.50%,500.0,2760.0,-115.0,-7.47,-17.37
1196.0,인디에프,633.0,보합0,0.00%,500.0,1265.0,-27.0,-158.25,-4.27
